Document,Left,Term,Right
1,Qué será? ~(Entra en la ,casa,", acompañada de la Alcaldesa.)~ EL"
1,"LUCRECIA, ~que vuelve de la ",casa,", con la Alcaldesa y el"
1,celebrar la entrevista en mi ,casa,", pongo a su disposición una"
1,"saberlo, como jefe de la ",casa," de Albrit, en la cual"
1,traídos por el vicio. Esta ,casa," histórica, grande en su pasado"
1,"Mamita, ¿te acompañamos a tu ",casa,", o nos quedamos un rato"
1,pájaros; su memoria era una ,casa," ruinosa y desalojada, en la"
1,dignas personas que honran mi ,casa,. ~(Se sienta en el sillón
1,su instinto de gobernante de ,casa," te ayudará, te empujará para"
1,"debido, lo haré yo en ",casa,", y se lo enviaré. EL"
1,con los dueños de la ,casa,", se dirige al espacioso y"
1,ellas tenía que volver a ,casa,". EL CONDE, ~picado~. Ya que"
1,Ese bestia mandará en su ,casa,", pero no en mi familia"
1,"Abuelito, ¿quieres que vaya a ",casa," en cuatro brincos, y te"
1,siglo XIII. Ejecutorias de la ,casa, de Laín mencionan al santo
1,el retrato que hay en ,casa,", más se parece a Dolly"
1,de la gruta.)~ ESCENA IX ~,casa," pobre de campo, de un"
1,plantas parásitas. Junto a la ,casa,", un huerto mal cercado de"
1,en el interior de la ,casa,", y como el humo las"
1,y Zacarías traía napoleones a ,casa,. EL CONDE ¡Ay! desde aquel
1,librote grande retrataron toda esta ,casa,", y a mí mesma... y"
1,chiquillas tan contentas. VENANCIO A ,casa,. La humedad no es buena
1,"pasa, y sabemos volver a ",casa,". EL CONDE, ~chancero~. Ya lo"
1,está usía como en su ,casa,". EL CONDE, ~con finísima marrullería"
1,los ángulos robustos de la ,casa,".~ EL CONDE, ~solo. (Después de"
1,escuchar.)~ ¡Qué silencio en la ,casa,! Todos duermen: las niñas también
1,contrabando infame introducido en mi ,casa, por esa ladrona de mi
1,guardar el orden en mi ,casa,", y a no permitir... EL"
1,presencia. VENANCIO Estoy en mi ,casa,". EL CONDE, ~que devora su"
1,y los puños~. ¡En tu ,casa,", sí!... Pero eso no es"
1,en el abrigo de mi ,casa,", pasásteis de animales a personas"
1,"arrojáis, me iré de esta ",casa,", en que no hay piedra"
1,en la puerta de la ,casa,", llamando~. A Dolly, que venga"
1,La paz sea en esta ,casa,". EL CONDE _Curiambro_, buenos días"
1,invita a comer en su ,casa,", y a pasar allá la"
1,hija mía. ~(Entran en la ,casa,", seguidos de D. Pío.)~ ESCENA"
1,"aquí, ni barre?... Toda la ",casa, la tiene como una tacita
1,respetar al que honra su ,casa, solo con pisar en ella
1,"nosotros, imperio ha sido la ",casa," de Albrit, y las glorias"
1,tan libre como en su ,casa,? EL PRIOR Viviría en la
1,el más calificado de la ,casa,". Muéstrase, desde la sopa al"
1,"cosas triviales, barre para su ",casa,", sosteniendo la supremacía de las"
1,"dormirla; después, paseo hasta la ",casa," de labor de abajo, que"
1,considere que está en su ,casa,... ¿No dice nada a su
1,eres muy desgraciado en tu ,casa,". D. PÍO, ~llevándole a un"
1,que he dormido fuera de ,casa,". Aquí podemos sentarnos, sobre esta"
1,está otra vez en mi ,casa,": empina el codo, y me"
1,traía los hijos; nacían en ,casa,. Yo le decía verdades como
1,me vale huir de mi ,casa," y abandonarlas, porque salen desaforadas"
1,falta tiempo para correr a ,casa," del médico, a la botica"
1,tengo el infierno en mi ,casa,". EL CONDE, ~gozoso~. Respira, hijo"
1,así entraré más tarde en ,casa,. Cuando llegue a las tantas
1,la alegría... Ven a mi ,casa,". ~(Se agarran del brazo, y"
1,su voz diciendo: «¡Ah de ,casa,!» VENANCIO No puede ser... ~(Mirando
1,No; no entro en vuestra ,casa,; entro en la casa de
1,vuestra casa; entro en la ,casa," de mis nietas, a quienes"
1,VENANCIO ¡Otra vez en mi ,casa,...! Yo te juro que mañana
1,van.)~ ESCENA XIV ~Jardín y ,casa, del Alcalde. Al llegar Senén
1,del antiguo criado de su ,casa,".)~ SENÉN Señorita Nell, aquí estoy"
1,servidor que fue de mi ,casa,", cuando aquí, siguiendo las tradiciones"
1,CURA Podría venir a mi ,casa,... DOLLY ¡Pero si está en
1,NELL ¡Incompatibilidad!... Estamos en nuestra ,casa,". VENANCIO, ~adelantándose, seguido de Gregoria"
